"variable","Estimate","Std..Error","z.value","Pr...z.."
"PAR_SFMV14",-1150.02234510262,1062.80667003412,-1.08206165573433,0.279225132425317
"PAR_SFMV15",-1253.77920403585,1252.40201322188,-1.00109963957215,0.31677863928763
"PAR_SFMV16",-4209.26862650801,1758.76714334768,-2.39330638079581,0.0166972915503235
"PAR_SFMV17",-490.527979144543,497.450546664129,-0.986083908107032,0.324091939494983
"PAR_SFMV18",1008.72541067489,665.082785666689,1.51669150429706,0.129344590271719
"PAR_SFMV19",-3846.54336545054,1272.20776406835,-3.02351822877563,0.00249853975852769
"PAR_SFMV20",2986.33777434414,1650.08972424257,1.8098032673435,0.0703263010712881
"PAR_SFMV21",537.074007620763,584.538948257944,0.918799353270407,0.358200530816969
"PAR_SFMV22",-429.825719498206,632.656356741867,-0.679398404707061,0.496885460415516
"PAR_SFMV23",106.014028512324,476.180006277937,0.222634354896551,0.823820096089812
"PAR_SFMV24",-167410.483933813,62253.406585146,-2.68917787984566,0.00716282395636368
"PAR_MFCC1",-0.860131458796657,0.908045406566124,-0.947233973738539,0.343519567075789
"PAR_MFCC2",1.10998609132355,1.1086703735429,1.00118675289973,0.316736529732209
"PAR_MFCC3",-8.30555835349934,1.61839602930293,-5.13196906265069,2.86726635994719e-07
"PAR_MFCC4",2.20019920403382,1.72905241537679,1.27248843613243,0.203199630182207
"PAR_MFCC5",0.655480542972218,1.78245995090325,0.367739282243091,0.713067646854913
"PAR_MFCC6",-5.40589751792267,1.88775081711022,-2.86367113123439,0.004187625396648
"PAR_MFCC7",-1.70323352744502,1.81310006194624,-0.939404042387327,0.347523338340192
"PAR_MFCC8",9.30532137773741,1.75228428909726,5.31039480045291,1.09388011725876e-07
"PAR_MFCC9",-4.11828245398477,1.71348317440715,-2.40345660552498,0.0162408944433461
"PAR_MFCC10",7.32489479336531,1.85151902648585,3.9561542109928,7.61660039061583e-05
"PAR_MFCC11",-6.50787934743268,2.37394656388649,-2.74137566802614,0.00611825110700983
"PAR_MFCC12",8.90650487706745,2.67252739590644,3.3326149960931,0.000860339073960097
"PAR_MFCC13",0.744337533352202,2.68763468071632,0.276948924157289,0.781819325205593
"PAR_MFCC14",1.03664273595934,2.46866186006846,0.419920910484917,0.674543231551365
"PAR_MFCC15",5.67381943572841,3.12730648580673,1.81428314157216,0.0696341456549371
